Transaction_ID,Date,Country,Region,City,Customer_ID,Product_Category,Product_Name,Units_Sold,Unit_Price,Currency,Discount_pct,Total_Sales,Channel,Payment_Method,Returned,Repeat_Customer,Delivery_Time_Days,Gross_Margin_pct,Profit
TXN0000021,19-02-2023,India,Mumbai,Mumbai,CUST002534,Electronics,Sofa,5,39035,INR,30,136622.5,Online,Debit Card,0,1,7,0.214,29237.22
TXN0000022,12-11-2024,India,Jaipur,Jaipur,CUST000835,Toys,Snacks Pack,5,3453,INR,30,12085.5,Online,Credit Card,1,1,12,0.095,1148.12
TXN0000023,19-04-2024,India,Jaipur,Jaipur,CUST002747,Furniture,Snacks Pack,8,46215,INR,15,314262,Online,Debit Card,0,1,13,0.254,79822.55
TXN0000024,21-04-2025,India,Pune,Pune,CUST002048,Food,Tennis Racket,6,37838,INR,0,227028,Retail,Cash,0,0,8,0.066,14983.85
TXN0000025,18-10-2023,India,Mumbai,Mumbai,CUST001461,Electronics,Microwave,3,97181,INR,20,233234.4,Online,Net Banking,0,1,7,0.301,70203.55
TXN0000026,16-02-2024,India,Chennai,Chennai,CUST002470,Food,Laptop,7,77399,INR,10,487613.7,Retail,Cash,0,0,4,0.22,107275.01
TXN0000027,05-09-2024,India,Mumbai,Mumbai,CUST001162,Sports,T-shirt,1,96899,INR,0,96899,Retail,UPI,0,1,13,0.08,7751.92
TXN0000028,05-07-2023,India,Bengaluru,Bengaluru,CUST000006,Toys,Laptop,2,22885,INR,0,45770,Online,Debit Card,0,1,1,0.217,9932.09
TXN0000029,27-10-2022,India,Pune,Pune,CUST002978,Furniture,Tennis Racket,7,30133,INR,20,168744.8,Retail,Net Banking,1,0,5,0.176,29699.08
TXN0000030,13-08-2025,India,Mumbai,Mumbai,CUST002609,Furniture,Tennis Racket,2,59668,INR,10,107402.4,Retail,PayPal,0,0,3,0.132,14177.12
TXN0000031,16-07-2025,India,Ahmedabad,Ahmedabad,CUST001824,Beauty,Headphones,2,15956,INR,5,30316.4,Retail,UPI,0,1,7,0.252,7639.73
TXN0000032,11-08-2023,India,Lucknow,Lucknow,CUST000285,Beauty,Sofa,7,54864,INR,10,345643.2,Online,Debit Card,0,1,4,0.293,101273.46
TXN0000033,26-08-2024,India,Chennai,Chennai,CUST000378,Furniture,Sofa,4,76470,INR,25,229410,Online,Debit Card,0,1,10,0.085,19499.85
TXN0000034,27-07-2025,India,Chennai,Chennai,CUST002550,Food,Perfume,9,80861,INR,10,654974.1,Online,UPI,0,0,5,0.132,86456.58
TXN0000035,17-02-2022,India,Mumbai,Mumbai,CUST002497,Beauty,T-shirt,7,92058,INR,0,644406,Online,Credit Card,0,0,9,0.098,63151.79
TXN0000036,24-07-2022,India,Kolkata,Kolkata,CUST002465,Sports,T-shirt,6,69999,INR,10,377994.6,Online,Debit Card,0,1,3,0.186,70307
TXN0000037,03-09-2023,India,Ahmedabad,Ahmedabad,CUST000742,Electronics,Headphones,4,37680,INR,0,150720,Retail,Net Banking,0,0,9,0.051,7686.72
TXN0000038,26-02-2023,India,Ahmedabad,Ahmedabad,CUST000785,Furniture,Tennis Racket,8,24915,INR,10,179388,Online,Cash,0,1,1,0.258,46282.1
TXN0000039,31-08-2024,India,Pune,Pune,CUST000561,Food,Headphones,5,82136,INR,10,369612,Online,UPI,0,1,11,0.063,23285.56
TXN0000040,16-11-2022,India,Pune,Pune,CUST002183,Sports,Laptop,8,28333,INR,0,226664,Online,Credit Card,0,0,4,0.106,24026.38
TXN0000041,05-08-2024,India,Ahmedabad,Ahmedabad,CUST001764,Electronics,Sofa,8,15865,INR,15,107882,Retail,Debit Card,0,1,2,0.305,32904.01
TXN0000042,13-03-2025,India,Ahmedabad,Ahmedabad,CUST002829,Furniture,Action Figure,9,56725,INR,0,510525,Online,Cash,0,0,7,0.295,150604.88
TXN0000043,31-03-2022,India,Mumbai,Mumbai,CUST001748,Furniture,Headphones,9,24070,INR,0,216630,Retail,PayPal,0,0,3,0.235,50908.05
TXN0000044,04-07-2023,India,Delhi,Delhi,CUST002436,Food,T-shirt,7,67664,INR,0,473648,Online,Credit Card,0,1,4,0.265,125516.72
TXN0000045,03-04-2025,India,Lucknow,Lucknow,CUST001343,Food,Action Figure,7,86771,INR,20,485917.6,Retail,UPI,0,1,7,0.217,105444.12
TXN0000046,06-07-2025,India,Ahmedabad,Ahmedabad,CUST001221,Clothing,Action Figure,6,80775,INR,5,460417.5,Online,Debit Card,0,1,12,0.168,77350.14
TXN0000047,21-04-2022,India,Mumbai,Mumbai,CUST000976,Food,T-shirt,9,69280,INR,20,498816,Online,PayPal,0,0,13,0.122,60855.55
TXN0000048,15-11-2023,India,Jaipur,Jaipur,CUST000124,Electronics,Action Figure,8,33454,INR,0,267632,Retail,Debit Card,0,1,6,0.323,86445.14
TXN0000049,28-10-2024,India,Jaipur,Jaipur,CUST002795,Beauty,Perfume,1,39023,INR,0,39023,Retail,PayPal,0,1,12,0.32,12487.36
TXN0000050,23-01-2022,India,Lucknow,Lucknow,CUST001868,Food,Headphones,8,96870,INR,0,774960,Retail,UPI,0,0,11,0.318,246437.28
TXN0000051,25-07-2023,India,Delhi,Delhi,CUST000078,Food,Smartphone,2,56278,INR,15,95672.6,Retail,Cash,0,1,14,0.324,30997.92
TXN0000052,17-03-2023,India,Hyderabad,Hyderabad,CUST001807,Beauty,Headphones,9,68268,INR,10,552970.8,Online,Cash,0,1,4,0.279,154278.85
TXN0000053,17-12-2024,India,Chennai,Chennai,CUST002949,Beauty,Action Figure,6,51382,INR,0,308292,Online,Net Banking,0,0,7,0.319,98345.15
TXN0000054,20-09-2025,India,Lucknow,Lucknow,CUST001864,Sports,Microwave,5,40694,INR,15,172949.5,Retail,Debit Card,0,0,14,0.311,53787.29
TXN0000055,08-10-2024,India,Pune,Pune,CUST002184,Furniture,Action Figure,7,31445,INR,5,209109.25,Online,UPI,0,0,13,0.13,27184.2
TXN0000056,18-11-2023,India,Delhi,Delhi,CUST000371,Toys,Action Figure,4,28855,INR,10,103878,Online,Debit Card,0,0,13,0.303,31475.03
TXN0000057,24-01-2025,India,Lucknow,Lucknow,CUST000154,Furniture,Microwave,9,1083,INR,20,7797.6,Online,Net Banking,0,1,10,0.218,1699.88
TXN0000058,16-03-2025,India,Mumbai,Mumbai,CUST001611,Beauty,Tennis Racket,8,65401,INR,5,497047.6,Retail,Net Banking,0,0,14,0.206,102391.81
TXN0000059,07-04-2023,India,Jaipur,Jaipur,CUST002886,Beauty,T-shirt,1,16996,INR,15,14446.6,Online,Credit Card,0,1,6,0.087,1256.85
TXN0000060,21-09-2023,India,Jaipur,Jaipur,CUST000417,Beauty,Perfume,1,75416,INR,5,71645.2,Retail,Debit Card,0,1,8,0.305,21851.79
TXN0000061,22-01-2024,India,Jaipur,Jaipur,CUST001046,Electronics,Microwave,3,4686,INR,20,11246.4,Online,UPI,0,0,11,0.145,1630.73
TXN0000062,10-10-2025,India,Kolkata,Kolkata,CUST000256,Toys,Action Figure,8,3179,INR,5,24160.4,Wholesale,Credit Card,0,1,14,0.113,2730.13
TXN0000063,28-10-2023,India,Bengaluru,Bengaluru,CUST000989,Toys,Action Figure,8,67828,INR,0,542624,Online,PayPal,0,0,11,0.299,162244.58
TXN0000064,04-11-2022,India,Hyderabad,Hyderabad,CUST001605,Sports,Sofa,2,83753,INR,0,167506,Retail,UPI,0,1,10,0.058,9715.35
TXN0000065,25-02-2023,India,Lucknow,Lucknow,CUST001665,Clothing,Action Figure,1,87902,INR,0,87902,Online,Net Banking,0,1,11,0.11,9669.22
TXN0000066,30-10-2022,India,Mumbai,Mumbai,CUST000854,Electronics,Action Figure,4,40170,INR,0,160680,Retail,Cash,0,0,9,0.197,31653.96
TXN0000067,13-12-2023,India,Lucknow,Lucknow,CUST000035,Clothing,Smartphone,2,45792,INR,5,87004.8,Retail,Cash,0,1,5,0.317,27580.52
TXN0000068,10-06-2023,India,Ahmedabad,Ahmedabad,CUST001208,Toys,Snacks Pack,5,56226,INR,0,281130,Retail,UPI,0,1,14,0.18,50603.4
TXN0000069,23-03-2025,India,Lucknow,Lucknow,CUST001247,Toys,Tennis Racket,7,60354,INR,15,359106.3,Online,UPI,0,1,6,0.102,36628.84
TXN0000070,16-02-2022,India,Chennai,Chennai,CUST001150,Furniture,Action Figure,5,83464,INR,25,312990,Online,Cash,0,0,9,0.197,61659.03
TXN0000071,30-01-2024,India,Delhi,Delhi,CUST002177,Toys,Headphones,1,51367,INR,5,48798.65,Online,Credit Card,0,1,4,0.239,11662.88
TXN0000072,29-08-2023,India,Chennai,Chennai,CUST000810,Beauty,Perfume,5,16035,INR,25,60131.25,Retail,Cash,0,0,10,0.312,18760.95
TXN0000073,14-05-2023,India,Mumbai,Mumbai,CUST001253,Electronics,Microwave,6,58721,INR,5,334709.7,Online,Net Banking,0,1,7,0.292,97735.23
TXN0000074,16-04-2022,India,Lucknow,Lucknow,CUST002270,Sports,Snacks Pack,9,35690,INR,0,321210,Retail,Debit Card,0,0,14,0.283,90902.43
TXN0000075,10-01-2024,India,Lucknow,Lucknow,CUST002784,Beauty,Action Figure,1,14835,INR,20,11868,Retail,UPI,0,1,1,0.198,2349.86
TXN0000076,25-06-2024,India,Ahmedabad,Ahmedabad,CUST000864,Sports,Perfume,3,16444,INR,20,39465.6,Online,Credit Card,0,0,12,0.323,12747.39
TXN0000077,09-02-2024,India,Hyderabad,Hyderabad,CUST001621,Toys,Laptop,5,99783,INR,10,449023.5,Online,PayPal,0,1,11,0.314,140993.38
TXN0000078,07-06-2022,India,Mumbai,Mumbai,CUST002512,Sports,Headphones,1,54129,INR,25,40596.75,Online,Net Banking,0,0,11,0.278,11285.9
TXN0000079,06-01-2023,India,Mumbai,Mumbai,CUST001284,Beauty,Headphones,7,24925,INR,0,174475,Online,Debit Card,0,0,12,0.288,50248.8
TXN0000080,02-03-2024,India,Delhi,Delhi,CUST001531,Beauty,Smartphone,1,15623,INR,0,15623,Online,Credit Card,0,1,4,0.322,5030.61
TXN0000081,02-09-2022,India,Pune,Pune,CUST001041,Toys,Headphones,3,41944,INR,20,100665.6,Retail,UPI,0,0,12,0.153,15401.84
TXN0000082,27-04-2022,India,Delhi,Delhi,CUST000589,Electronics,Snacks Pack,1,20396,INR,0,20396,Wholesale,Credit Card,0,0,12,0.336,6853.06
TXN0000083,11-03-2022,India,Bengaluru,Bengaluru,CUST000355,Toys,Headphones,9,86499,INR,20,622792.8,Retail,Net Banking,0,1,12,0.09,56051.35
TXN0000084,27-05-2024,India,Jaipur,Jaipur,CUST002984,Beauty,Snacks Pack,7,15844,INR,0,110908,Online,Cash,0,0,14,0.314,34825.11
TXN0000085,03-01-2025,India,Mumbai,Mumbai,CUST001442,Furniture,Microwave,9,1739,INR,10,14085.9,Retail,UPI,0,1,10,0.118,1662.14
TXN0000086,15-05-2022,India,Jaipur,Jaipur,CUST000440,Clothing,Perfume,9,63328,INR,15,484459.2,Online,Debit Card,0,0,12,0.217,105127.65
TXN0000087,07-01-2024,India,Hyderabad,Hyderabad,CUST000523,Sports,Headphones,9,10909,INR,20,78544.8,Online,PayPal,0,1,8,0.222,17436.95
TXN0000088,08-06-2024,India,Jaipur,Jaipur,CUST000996,Food,Tennis Racket,5,18555,INR,25,69581.25,Retail,UPI,0,1,11,0.331,23031.39
TXN0000089,18-05-2022,India,Lucknow,Lucknow,CUST001320,Furniture,Sofa,7,61120,INR,0,427840,Online,Net Banking,0,1,3,0.132,56474.88
TXN0000090,14-12-2023,India,Ahmedabad,Ahmedabad,CUST000653,Clothing,Perfume,6,97322,INR,5,554735.4,Wholesale,Debit Card,0,1,2,0.176,97633.43
TXN0000091,28-08-2022,India,Pune,Pune,CUST000664,Food,Action Figure,6,19682,INR,25,88569,Online,Net Banking,0,0,12,0.093,8236.92
TXN0000092,21-06-2023,India,Lucknow,Lucknow,CUST001160,Beauty,Snacks Pack,3,70929,INR,0,212787,Retail,UPI,0,1,13,0.213,45323.63
TXN0000093,05-08-2022,India,Pune,Pune,CUST002258,Furniture,Sofa,6,79010,INR,10,426654,Wholesale,Credit Card,0,1,3,0.167,71251.22
TXN0000094,30-05-2024,India,Hyderabad,Hyderabad,CUST000903,Sports,Tennis Racket,6,95483,INR,0,572898,Retail,Net Banking,0,1,7,0.183,104840.33
TXN0000095,01-11-2024,India,Ahmedabad,Ahmedabad,CUST000318,Sports,T-shirt,5,79799,INR,5,379045.25,Wholesale,Cash,0,0,12,0.071,26912.21
TXN0000096,07-05-2025,India,Jaipur,Jaipur,CUST001009,Food,Sofa,4,81666,INR,0,326664,Online,Cash,0,1,5,0.3,97999.2
TXN0000097,22-05-2023,India,Ahmedabad,Ahmedabad,CUST001582,Food,Tennis Racket,5,49725,INR,0,248625,Online,UPI,0,1,8,0.156,38785.5
TXN0000098,22-02-2023,India,Jaipur,Jaipur,CUST001223,Food,Snacks Pack,7,4105,INR,10,25861.5,Retail,PayPal,0,1,13,0.241,6232.62
TXN0000099,22-01-2023,India,Kolkata,Kolkata,CUST000127,Beauty,Smartphone,4,51295,INR,15,174403,Online,Debit Card,0,1,1,0.24,41856.72
TXN0000100,03-03-2025,India,Bengaluru,Bengaluru,CUST001406,Clothing,Perfume,9,73554,INR,5,628886.7,Online,Credit Card,0,0,7,0.241,151561.69
TXN0000101,31-08-2025,India,Chennai,Chennai,CUST002061,Clothing,Headphones,4,88913,INR,5,337869.4,Retail,Debit Card,0,0,5,0.12,40544.33
TXN0000102,11-07-2024,India,Chennai,Chennai,CUST002434,Furniture,Microwave,9,38798,INR,0,349182,Retail,Net Banking,0,0,5,0.081,28283.74
TXN0000103,18-08-2023,India,Jaipur,Jaipur,CUST002796,Beauty,T-shirt,9,97387,INR,20,701186.4,Retail,UPI,0,1,11,0.071,49784.23
TXN0000104,19-04-2024,India,Jaipur,Jaipur,CUST001053,Clothing,Sofa,7,4419,INR,0,30933,Online,Credit Card,0,1,13,0.221,6836.19
TXN0000105,05-02-2022,India,Mumbai,Mumbai,CUST000859,Furniture,Microwave,7,22827,INR,10,143810.1,Online,UPI,0,1,5,0.078,11217.19
TXN0000106,08-04-2024,India,Kolkata,Kolkata,CUST000488,Clothing,Laptop,1,35763,INR,0,35763,Retail,UPI,0,0,8,0.169,6043.95
TXN0000107,12-12-2023,India,Delhi,Delhi,CUST001978,Toys,T-shirt,2,80510,INR,20,128816,Retail,UPI,0,1,3,0.313,40319.41
TXN0000108,01-05-2025,India,Kolkata,Kolkata,CUST001979,Electronics,Snacks Pack,3,32034,INR,0,96102,Online,Debit Card,0,0,1,0.073,7015.45
TXN0000109,13-11-2023,India,Kolkata,Kolkata,CUST002997,Beauty,Perfume,3,82724,INR,0,248172,Online,Net Banking,0,1,1,0.245,60802.14
TXN0000110,11-03-2025,India,Bengaluru,Bengaluru,CUST000708,Electronics,Laptop,3,15010,INR,0,45030,Online,Net Banking,0,0,8,0.179,8060.37
TXN0000111,05-09-2022,India,Chennai,Chennai,CUST000317,Clothing,Laptop,9,91112,INR,25,615006,Online,PayPal,0,0,14,0.308,189421.85
TXN0000112,17-11-2022,India,Pune,Pune,CUST002734,Clothing,Perfume,2,77975,INR,20,124760,Retail,Debit Card,0,0,12,0.273,34059.48
TXN0000113,24-12-2023,India,Lucknow,Lucknow,CUST000612,Toys,Smartphone,1,43444,INR,5,41271.8,Retail,Cash,0,0,12,0.086,3549.37
TXN0000114,21-02-2024,India,Chennai,Chennai,CUST000571,Electronics,Laptop,1,94902,INR,0,94902,Online,Credit Card,0,0,13,0.138,13096.48
TXN0000115,08-09-2025,India,Bengaluru,Bengaluru,CUST000304,Beauty,Sofa,6,26599,INR,20,127675.2,Online,PayPal,0,1,5,0.241,30769.72
TXN0000116,19-09-2023,India,Lucknow,Lucknow,CUST001929,Toys,Smartphone,7,78256,INR,25,410844,Online,Credit Card,0,1,4,0.101,41495.24
TXN0000117,19-11-2022,India,Chennai,Chennai,CUST002450,Furniture,Snacks Pack,2,97050,INR,0,194100,Wholesale,Debit Card,0,0,4,0.291,56483.1
TXN0000118,17-07-2025,India,Delhi,Delhi,CUST001330,Food,T-shirt,2,78397,INR,10,141114.6,Retail,UPI,0,1,5,0.123,17357.1
TXN0000119,18-07-2024,India,Mumbai,Mumbai,CUST001878,Sports,Microwave,8,80780,INR,25,484680,Online,UPI,0,1,7,0.299,144919.32
TXN0000120,06-03-2025,India,Kolkata,Kolkata,CUST000749,Electronics,Smartphone,7,9822,INR,10,61878.6,Online,Net Banking,0,0,14,0.13,8044.22
TXN0000121,22-06-2024,India,Jaipur,Jaipur,CUST000416,Sports,Sofa,4,19334,INR,5,73469.2,Online,Debit Card,0,1,6,0.115,8448.96
TXN0000122,02-03-2022,India,Jaipur,Jaipur,CUST002626,Toys,Smartphone,7,33692,INR,0,235844,Retail,Cash,0,0,7,0.332,78300.21
TXN0000123,23-07-2024,India,Mumbai,Mumbai,CUST000222,Beauty,Laptop,4,79355,INR,15,269807,Online,Cash,0,1,11,0.241,65023.49
TXN0000124,18-10-2024,India,Mumbai,Mumbai,CUST002200,Toys,Microwave,5,67480,INR,30,236180,Online,Credit Card,0,0,11,0.212,50070.16
TXN0000125,07-07-2024,India,Ahmedabad,Ahmedabad,CUST002763,Toys,Tennis Racket,8,68481,INR,10,493063.2,Wholesale,Credit Card,0,0,11,0.065,32049.11
TXN0000126,24-11-2022,India,Pune,Pune,CUST001914,Beauty,Smartphone,4,863,INR,5,3279.4,Online,UPI,0,1,4,0.134,439.44
TXN0000127,13-06-2024,India,Pune,Pune,CUST000731,Sports,Perfume,7,14425,INR,0,100975,Wholesale,UPI,0,0,1,0.087,8784.82
TXN0000128,17-06-2022,India,Jaipur,Jaipur,CUST002191,Food,Sofa,2,71984,INR,20,115174.4,Online,Debit Card,0,1,4,0.098,11287.09
TXN0000129,24-12-2022,India,Kolkata,Kolkata,CUST001008,Toys,Perfume,2,4553,INR,0,9106,Online,UPI,0,1,3,0.129,1174.67
TXN0000130,18-12-2024,India,Ahmedabad,Ahmedabad,CUST002416,Furniture,Snacks Pack,9,18780,INR,15,143667,Online,UPI,0,1,10,0.091,13073.7
TXN0000131,17-05-2024,India,Pune,Pune,CUST000433,Furniture,Perfume,8,1272,INR,0,10176,Online,Net Banking,0,0,6,0.32,3256.32
TXN0000132,14-11-2023,India,Delhi,Delhi,CUST000657,Clothing,Snacks Pack,3,78593,INR,0,235779,Online,Debit Card,0,1,8,0.075,17683.42
TXN0000133,25-03-2022,India,Delhi,Delhi,CUST000713,Clothing,Laptop,7,61000,INR,10,384300,Retail,Credit Card,0,1,3,0.308,118364.4
TXN0000134,05-09-2022,India,Chennai,Chennai,CUST001111,Sports,Microwave,1,88776,INR,5,84337.2,Online,PayPal,0,1,8,0.194,16361.42
TXN0000135,05-04-2024,India,Mumbai,Mumbai,CUST002052,Electronics,Sofa,4,62329,INR,0,249316,Online,Debit Card,0,1,2,0.097,24183.65
TXN0000136,18-10-2024,India,Lucknow,Lucknow,CUST000441,Sports,Tennis Racket,4,3090,INR,15,10506,Retail,Cash,0,1,7,0.208,2185.25
TXN0000137,20-07-2024,India,Kolkata,Kolkata,CUST001551,Toys,Sofa,8,64929,INR,0,519432,Wholesale,UPI,0,0,3,0.308,159985.06
TXN0000138,26-08-2024,India,Kolkata,Kolkata,CUST001195,Furniture,Snacks Pack,4,6754,INR,5,25665.2,Wholesale,PayPal,0,1,11,0.317,8135.87
TXN0000139,26-04-2023,India,Mumbai,Mumbai,CUST000892,Electronics,Laptop,9,12674,INR,5,108362.7,Retail,Credit Card,0,1,10,0.157,17012.94
TXN0000140,08-10-2023,India,Kolkata,Kolkata,CUST001366,Clothing,T-shirt,7,63975,INR,0,447825,Online,Debit Card,0,0,3,0.251,112404.08
TXN0000141,04-08-2025,India,Chennai,Chennai,CUST001054,Electronics,Snacks Pack,5,24449,INR,5,116132.75,Online,PayPal,1,1,8,0.07,8129.29
TXN0000142,12-07-2022,India,Lucknow,Lucknow,CUST002874,Food,Sofa,8,9025,INR,0,72200,Online,PayPal,0,1,10,0.2,14440
TXN0000143,14-03-2023,India,Kolkata,Kolkata,CUST000086,Toys,T-shirt,4,44108,INR,0,176432,Retail,Credit Card,0,1,2,0.118,20818.98
TXN0000144,15-05-2023,India,Chennai,Chennai,CUST001761,Sports,Laptop,6,62442,INR,0,374652,Online,UPI,0,1,12,0.14,52451.28
TXN0000145,01-06-2022,India,Jaipur,Jaipur,CUST000709,Electronics,Headphones,5,96498,INR,0,482490,Wholesale,Credit Card,0,0,9,0.189,91190.61
TXN0000146,31-10-2023,India,Jaipur,Jaipur,CUST002468,Clothing,Laptop,3,22462,INR,0,67386,Online,Credit Card,0,1,8,0.324,21833.06
TXN0000147,26-09-2022,India,Bengaluru,Bengaluru,CUST000302,Clothing,Headphones,8,38758,INR,5,294560.8,Online,Credit Card,0,1,4,0.297,87484.56
TXN0000148,29-07-2023,India,Bengaluru,Bengaluru,CUST001420,Food,Sofa,6,36550,INR,10,197370,Retail,PayPal,0,0,9,0.165,32566.05
TXN0000149,06-06-2022,India,Bengaluru,Bengaluru,CUST001905,Food,Microwave,4,75231,INR,0,300924,Online,PayPal,0,1,1,0.193,58078.33
TXN0000150,06-07-2022,India,Pune,Pune,CUST002173,Furniture,Headphones,1,73013,INR,0,73013,Retail,Cash,0,0,14,0.312,22780.06
TXN0000151,13-11-2022,India,Mumbai,Mumbai,CUST002058,Food,Headphones,1,73659,INR,10,66293.1,Retail,Net Banking,1,1,11,0.075,4971.98
TXN0000152,23-08-2023,India,Chennai,Chennai,CUST002042,Food,Microwave,3,29552,INR,20,70924.8,Online,Debit Card,0,1,10,0.283,20071.72
TXN0000153,13-09-2024,India,Jaipur,Jaipur,CUST000749,Toys,Snacks Pack,8,97423,INR,0,779384,Retail,PayPal,0,0,9,0.101,78717.78
TXN0000154,20-06-2025,India,Ahmedabad,Ahmedabad,CUST001396,Furniture,Tennis Racket,8,90973,INR,0,727784,Online,Credit Card,0,1,14,0.134,97523.06
TXN0000155,25-03-2022,India,Bengaluru,Bengaluru,CUST000183,Food,Sofa,2,95860,INR,0,191720,Online,Cash,0,0,8,0.115,22047.8
TXN0000156,15-07-2022,India,Ahmedabad,Ahmedabad,CUST000689,Beauty,Microwave,1,62894,INR,0,62894,Retail,Credit Card,0,1,8,0.215,13522.21
TXN0000157,25-07-2025,India,Hyderabad,Hyderabad,CUST001860,Beauty,Sofa,5,54004,INR,0,270020,Wholesale,Credit Card,0,0,1,0.119,32132.38
TXN0000158,04-03-2025,India,Lucknow,Lucknow,CUST000809,Beauty,Smartphone,1,23959,INR,5,22761.05,Wholesale,Net Banking,0,0,8,0.187,4256.32
TXN0000159,13-01-2023,India,Bengaluru,Bengaluru,CUST000458,Food,Microwave,8,34580,INR,10,248976,Retail,Cash,0,0,1,0.058,14440.61
TXN0000160,28-04-2022,India,Jaipur,Jaipur,CUST000719,Clothing,Headphones,9,72630,INR,5,620986.5,Retail,PayPal,0,1,10,0.145,90043.04
TXN0000161,26-01-2022,India,Lucknow,Lucknow,CUST001605,Clothing,Microwave,2,84138,INR,0,168276,Online,Net Banking,0,0,13,0.263,44256.59
TXN0000162,27-08-2022,India,Pune,Pune,CUST001906,Furniture,Action Figure,4,62454,INR,10,224834.4,Online,Cash,0,0,1,0.18,40470.19
TXN0000163,06-02-2025,India,Ahmedabad,Ahmedabad,CUST002731,Clothing,Headphones,6,83333,INR,10,449998.2,Retail,Debit Card,0,0,2,0.297,133649.47
TXN0000164,18-01-2025,India,Lucknow,Lucknow,CUST001517,Clothing,Smartphone,7,94528,INR,5,628611.2,Wholesale,Debit Card,0,1,2,0.188,118178.91
TXN0000165,17-01-2023,India,Delhi,Delhi,CUST002513,Furniture,Laptop,5,26210,INR,0,131050,Online,Net Banking,0,0,14,0.313,41018.65
TXN0000166,03-03-2024,India,Bengaluru,Bengaluru,CUST001106,Beauty,Action Figure,1,66176,INR,0,66176,Online,Debit Card,0,0,5,0.168,11117.57
TXN0000167,07-11-2024,India,Pune,Pune,CUST000313,Furniture,Action Figure,7,19731,INR,5,131211.15,Online,Credit Card,0,1,7,0.158,20731.36
TXN0000168,26-10-2023,India,Delhi,Delhi,CUST001840,Clothing,Smartphone,7,98795,INR,0,691565,Retail,Debit Card,0,0,6,0.127,87828.76
